batch_id,loaded_at,source_file,row_num,reg_code,company_name,tax_debt_eur,debt_as_of_date,raw_payload
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,83,10195826,"METUS-EST, AS",339258.28,,"{""Nimi"": ""METUS-EST, AS"", ""Maksuv+¦lg"": ""339258,28"", ""Registrikood"": ""10195826"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""10.04.2023""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,84,14432111,COINMETRO GROUP O+£,338668.38,,"{""Nimi"": ""COINMETRO GROUP O+£"", ""Maksuv+¦lg"": ""338668,38"", ""Registrikood"": ""14432111"", ""sh vaidlustatud"": ""217122,24"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""22.08.2022""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,85,16618765,NOVEL CLINIC AS,338313.54,,"{""Nimi"": ""NOVEL CLINIC AS"", ""Maksuv+¦lg"": ""338313,54"", ""Registrikood"": ""16618765"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""10.05.2023""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,86,11407704,NEITH ELEKTER O+£,334636.21,,"{""Nimi"": ""NEITH ELEKTER O+£"", ""Maksuv+¦lg"": ""334636,21"", ""Registrikood"": ""11407704"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""10.02.2025""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,87,10333205,AS FENESTRA,334004.59,,"{""Nimi"": ""AS FENESTRA"", ""Maksuv+¦lg"": ""334004,59"", ""Registrikood"": ""10333205"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""10.02.2026""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,88,17009873,INNOVECON O+£,333541.23,,"{""Nimi"": ""INNOVECON O+£"", ""Maksuv+¦lg"": ""333541,23"", ""Registrikood"": ""17009873"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""10.04.2025""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,89,10686754,"FORT HOLDING, O+£",330785.18,,"{""Nimi"": ""FORT HOLDING, O+£"", ""Maksuv+¦lg"": ""330785,18"", ""Registrikood"": ""10686754"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""10.01.2023""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,90,14048507,LASTEN EHITUS O+£,330758.42,,"{""Nimi"": ""LASTEN EHITUS O+£"", ""Maksuv+¦lg"": ""330758,42"", ""Registrikood"": ""14048507"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""10.03.2021""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,91,11159703,TEHNOKESKUS O+£,322216.82,,"{""Nimi"": ""TEHNOKESKUS O+£"", ""Maksuv+¦lg"": ""322216,82"", ""Registrikood"": ""11159703"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""10.06.2022""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,92,14529655,NUNGBAJI MATAJIMAKI O+£,321662.9,,"{""Nimi"": ""NUNGBAJI MATAJIMAKI O+£"", ""Maksuv+¦lg"": ""321662,9"", ""Registrikood"": ""14529655"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""21.08.2023""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,93,11439495,SA KUIVATI O+£,319131.48,,"{""Nimi"": ""SA KUIVATI O+£"", ""Maksuv+¦lg"": ""319131,48"", ""Registrikood"": ""11439495"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""10.10.2023""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,94,12977390,MARSALIS ELEMENT O+£,316561.44,,"{""Nimi"": ""MARSALIS ELEMENT O+£"", ""Maksuv+¦lg"": ""316561,44"", ""Registrikood"": ""12977390"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""11.10.2021""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,95,14826364,OMA EHITUS O+£,315718.34,,"{""Nimi"": ""OMA EHITUS O+£"", ""Maksuv+¦lg"": ""315718,34"", ""Registrikood"": ""14826364"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""20.01.2022""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,96,16233692,VESTAGRUPP O+£,313019.31,,"{""Nimi"": ""VESTAGRUPP O+£"", ""Maksuv+¦lg"": ""313019,31"", ""Registrikood"": ""16233692"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""12.02.2024""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,97,16134659,NORD STRUCTURE O+£,310166.12,,"{""Nimi"": ""NORD STRUCTURE O+£"", ""Maksuv+¦lg"": ""310166,12"", ""Registrikood"": ""16134659"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""11.11.2024""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,98,12579815,MARJAVESKI O+£,307012.45,,"{""Nimi"": ""MARJAVESKI O+£"", ""Maksuv+¦lg"": ""307012,45"", ""Registrikood"": ""12579815"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""20.05.2022""}"
7378d6e3-a9c8-4dce-bc86-a618546d42b5,2026-05-28 08:14:48.130339,data\raw\emta\tax_debt_2026-05-28.csv,99,11730492,MESTRE O+£,305701.97,,"{""Nimi"": ""MESTRE O+£"", ""Maksuv+¦lg"": ""305701,97"", ""Registrikood"": ""11730492"", ""sh vaidlustatud"": ""0"", ""Andmed on seisuga"": ""28.05.2026"", ""sh tasumisgraafikus"": ""0"", ""Tasumisgraafiku l+¦ppkuup+ñev"": """", ""Vanima tasumata n+¦ude tasumise t+ñhtp+ñev"": ""11.07.2022""}"
